source_id,area,lat,lon,original_url
S01,Yard,12.9635173,80.1694943,"https://www.google.com/maps/place/15,+Main+St,+Old,+Pallavaram,+Chennai,+St.Thomas+Mount-cum-Pallavaram,+Tamil+Nadu+600043/@12.9635173,80.1694943,176m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3a525e6b5b3c13f3:0x38fbf257d466cdd9!8m2!3d12.963516!4d80.170138!16s%2Fg%2F11vx16vckf!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S02,Vinoth Quarry,12.1542469,79.8173368,"https://www.google.com/maps/place/12%C2%B009'15.3%22N+79%C2%B049'11.7%22E/@12.1542469,79.8173368,708m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.1542469!4d79.8199117!5m1!1e1?hl=en&entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S03,Devamani Quarry,12.0400787,79.6749045,"https://www.google.com/maps/place/12%C2%B002'15.2%22N+79%C2%B041'14.2%22E/@12.0400787,79.6749045,2833m/data=!3m1!1e3!4m4!3m3!8m2!3d12.0375556!4d79.6872778!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S04,Mayakrishnan Quarry,12.0400787,79.6749045,"https://www.google.com/maps/place/12%C2%B002'15.2%22N+79%C2%B041'14.2%22E/@12.0400787,79.6749045,2833m/data=!3m1!1e3!4m4!3m3!8m2!3d12.0375556!4d79.6872778!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S05,SRMK,12.7239438,79.7318865,"https://www.google.com/maps/place/SRMK+Aggregates/@12.7239438,79.7318865,706m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3a52dd5b77148b0f:0x403ef8dbb2f053b4!8m2!3d12.7239438!4d79.7318865!16s%2Fg%2F11y1_15qz2!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S06,Aggregate Engineering,12.5999137,79.5935128,"https://www.google.com/maps/place/Vijayaraj+Aggregates/@12.5999137,79.5935128,3362m/data=!3m1!1e3!4m6!3m5!1s0x3a52d968c3c8c083:0x2fd1a7f6ddb57018!8m2!3d12.6061868!4d79.5987526!16s%2Fg%2F11t866ktw5!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S07,Golden Sands,12.6947218,79.5856572,"https://www.google.com/maps/place/Golden+Sands/@12.6947218,79.5856572,38019m/data=!3m1!1e3!4m6!3m5!1s0x3a52dd9b6413b0f3:0x8b8550e3a2c560c5!8m2!3d12.7336479!4d79.7280727!16s%2Fg%2F11h38psqhc!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S08,JCK Blue Metal,12.7481989,79.5942599,"https://www.google.com/maps/place/JCK+Blue+Metals/@12.7481989,79.5942599,19006m/data=!3m1!1e3!4m6!3m5!1s0x3a52db941cfe7e49:0x4652a78064c15d68!8m2!3d12.7346065!4d79.6199577!16s%2Fg%2F11ckqs_kq7!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S09,Karpaga Vinayagar,12.7352202,79.7458137,"https://www.google.com/maps/place/12%C2%B044'06.8%22N+79%C2%B044'54.2%22E/@12.7352202,79.7458137,811m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.7352202!4d79.7483886?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
S10,Lakshmi narayanan,12.7453941,79.745064,"https://www.google.com/maps/place/12%C2%B044'43.4%22N+79%C2%B044'51.5%22E/@12.7453941,79.745064,727m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.7453889!4d79.7476389?entry=ttu&g_ep=EgoyMDI0MDgyMC4xIKXMDSoASAFQAw%3D%3D"
S11,Raymix,12.7342023,79.7048614,"https://www.google.com/maps/place/Ray+Mix+Crusher/@12.7342023,79.7048614,3360m/data=!3m1!1e3!4m6!3m5!1s0x3a52dd6a6bdac589:0x211d6da3dec63f38!8m2!3d12.7355627!4d79.718425!16s%2Fg%2F11ghs329lz!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S12,SDL Enterprises,12.7116784,79.7199687,"https://www.google.com/maps/place/SDL+ENTERPRISES/@12.7116784,79.7199687,6720m/data=!3m1!1e3!4m6!3m5!1s0x3a52e7b15c6764d3:0x2482a79b5b4f8c27!8m2!3d12.7199151!4d79.7452877!16s%2Fg%2F11s8t_jlhs!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S13,Girija Bluemetal,12.8494185,79.898836,"https://www.google.com/maps/place/Royalminesandaggregate/@12.8494185,79.898836,764m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3a52efaf201e4913:0x3eaa732a477a9350!8m2!3d12.8494185!4d79.898836!16s%2Fg%2F11sbbljxyr?entry=ttu&g_ep=EgoyMDI0MTExMS4wIKXMDSoASAFQAw%3D%3D"
S14,MD Mines,12.7591719,79.8801195,"https://www.google.com/maps/place/12%C2%B045'33.0%22N+79%C2%B052'57.7%22E/@12.7591719,79.8801195,727m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.7591667!4d79.8826944?entry=ttu&g_ep=EgoyMDI0MDgyMC4xIKXMDSoASAFQAw%3D%3D"
S15,Pallava Mines - Mathur,12.6593611,79.82525,"https://www.google.com/maps/place/12%C2%B039'33.7%22N+79%C2%B049'30.9%22E/@12.6593611,79.82525,1155m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.6593611!4d79.82525?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S16,SKD Blue Metal,12.7324399,79.8474962,"https://www.google.com/maps/place/SKD+Blue+Metal+M+sand/@12.7324399,79.8474962,1154m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3a52e4391aa4eedf:0xc6796399460ebe3b!8m2!3d12.7324399!4d79.8474962!16s%2Fg%2F11gfgs4kxy?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S17,Mailam Murugan Bluemetal,12.7381739,79.7944306,"https://www.google.com/maps/place/12%C2%B046'07.6%22N+79%C2%B047'43.9%22E/@12.7381739,79.7944306,22602m/data=!3m1!1e3!4m4!3m3!8m2!3d12.768786!4d79.795525!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S18,Mag Mines,12.7993454,79.8709806,"https://www.google.com/maps/place//@12.7993454,79.8709806,96m/data=!3m1!1e3!4m6!1m5!3m4!2zMTLCsDQ3JzU4LjAiTiA3OcKwNTInMTYuMiJF!8m2!3d12.79945!4d79.871171?entry=ttu&g_ep=EgoyMDI0MTExMS4wIKXMDSoASAFQAw%3D%3D"
S19,Royal Mines,12.8494185,79.898836,"https://www.google.com/maps/place/Royalminesandaggregate/@12.8494185,79.898836,764m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3a52efaf201e4913:0x3eaa732a477a9350!8m2!3d12.8494185!4d79.898836!16s%2Fg%2F11sbbljxyr?entry=ttu&g_ep=EgoyMDI0MTExMS4wIKXMDSoASAFQAw%3D%3D"
S20,Dee Jee Minerals,12.4807537,79.8484669,"https://www.google.com/maps/place/FRJX%2B89+VLS+ROCK+SAND+PVT+LTD,+Ozhupakkam,+Tamil+Nadu+603306/data=!4m2!3m1!1s0x3a531b005c25910b:0x4da7bcbea28ba713?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI1LjExLjEYACDXggMqdSw5NDI2ODQ0MSw5NDIyMzI5OSw5NDIxNjQxMyw5NDIxMjQ5Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxNzUyMyw5NDIxODY1Myw5NDIyOTgzOSw0NzA4NDM5Myw5NDIxMzIwMCw5NDI1ODMyNUICSU4%3D&skid=93840cd8-881e-4657-a5a0-17d710031275"
S21,VLS Blue Metal,12.4724321,79.8576047,"https://www.google.com/maps/place/M+SAND,+P+SAND,+STONE+AGGREGATES/@12.4724321,79.8576047,2828m/data=!3m1!1e3!4m6!3m5!1s0x3a531bbc31bd540d:0xa5cbb1acdfe6551b!8m2!3d12.4734767!4d79.8525774!16s%2Fg%2F11whwlw2mc!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S22,Vijayaraja Aggeregate,12.7380205,79.6863319,"https://www.google.com/maps/place/Vijayraj+Aggregate+Engineering/@12.7380205,79.6863319,1998m/data=!3m1!1e3!4m6!3m5!1s0x3a52ddaf486d8ae1:0xc8d764ffb714147d!8m2!3d12.739537!4d79.6942324!16s%2Fg%2F11qh2yckh0!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S23,SRC Blue Metal,12.623783,79.6125084,"https://www.google.com/maps/place/12%C2%B037'25.6%22N+79%C2%B036'54.3%22E/@12.623783,79.6125084,728m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.6237778!4d79.6150833?entry=ttu&g_ep=EgoyMDI0MDgyMC4xIKXMDSoASAFQAw%3D%3D"
S24,Arupadai - Chithambur,12.4148081,79.8872412,"https://www.google.com/maps/place/12%C2%B024'00.3%22N+79%C2%B058'00.4%22E/@12.4148081,79.8872412,22631m/data=!3m1!1e3!4m4!3m3!8m2!3d12.4000833!4d79.9667778!5m1!1e1?hl=en&entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S25,Dhana Udhayam - Cheyur,12.389379,79.972282,"https://www.google.com/maps/search/12.389379,+79.972282?coh=245187&entry=tts&g_ep=EgoyMDI1MDQxNC4xIPu8ASoJLDEwMjExNDUzSAFQAw%3D%3D&skid=d90d04e6-efcf-4af5-8505-1f7ff4c177f2"
S26,Pallava Mines - Koovathur,12.4267421,80.0460294,"https://www.google.com/maps/place/Pallava+Mines/@12.4267421,80.0460294,3439m/data=!3m1!1e3!4m6!3m5!1s0x3a5309f696766093:0xdf1a116bd3d121e!8m2!3d12.4204541!4d80.0465198!16s%2Fg%2F11l2gjb1pz?coh=245187&entry=tts&g_ep=EgoyMDI1MDQxNC4xIPu8ASoJLDEwMjExNDUzSAFQAw%3D%3D&skid=f47ce459-3143-45dc-9cc3-cd8a2db805d8"
S27,SPT Mines,12.4216172,79.7080178,"https://www.google.com/maps/place/A+Peter+Guspher+Rough+Stone+and+Gravel+Quarry/@12.4216172,79.7080178,707m/data=!3m1!1e3!4m6!3m5!1s0x3a533d000b855be1:0x7899df3e6d202ffd!8m2!3d12.4216172!4d79.7080178!16s%2Fg%2F11wx256h0t!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S28,DR & Sons - Nerkunapattu,12.450178,80.083819,"https://www.google.com/maps/search/12.450178,+80.083819?coh=245187&entry=tts&g_ep=EgoyMDI1MDQxNC4xIPu8ASoJLDEwMjExNDUzSAFQAw%3D%3D&skid=916d39f1-7ceb-4350-af7a-686c480b7187"
S29,Sun Minerals,13.0388836,79.7253506,"https://www.google.com/maps/place/%E0%AE%9A%E0%AE%A9%E0%AF%8D+%E0%AE%AE%E0%AE%BF%E0%AE%A9%E0%AE%B0%E0%AE%B2%E0%AF%8D%E0%AE%B8%E0%AF%8D+-+%E0%AE%B5%E0%AE%BF%E0%AE%8E%E0%AE%B8%E0%AF%8D%E0%AE%90+%E0%AE%8E%E0%AE%AE%E0%AF%8D-%E0%AE%9A%E0%AE%BE%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AF%8D+%E0%AE%AE%E0%AE%A9%E0%AF%81%E0%AE%AA%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%9A%E0%AE%B0%E0%AE%B0%E0%AF%8D%E0%AE%B8%E0%AF%8D,+Opposite+to+CISF+Defence+Campus+Thakkolam,+Arakkonam,+Tamil+Nadu+631151/data=!4m2!3m1!1s0x3a52bfba7420807b:0xf3be1b506dc60eee?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI1LjExLjEYACDXggMqYyw5NDIyMzI5OSw5NDIxNjQxMyw5NDIxMjQ5Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxNzUyMyw5NDIxODY1Myw5NDIyOTgzOSw0NzA4NDM5Myw5NDIxMzIwMEICSU4%3D&skid=ef47a0fc-943f-4183-9da4-6a3835d24aac"
S30,7 Hills,13.429856,79.9751218,"https://www.google.com/maps/place/CXHG%2BW2X+Seven+hills+stock+yeard,+Dalavai+Agraharam,+Tamil+Nadu+601202/data=!4m2!3m1!1s0x3a4d7dbf0f2dd089:0x3dcc38ace5c19c83?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESBzI1LjExLjEYACDXggMqdSw5NDI2ODQ0MSw5NDIyMzI5OSw5NDIxNjQxMyw5NDIxMjQ5Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxNzUyMyw5NDIxODY1Myw5NDIyOTgzOSw0NzA4NDM5Myw5NDIxMzIwMCw5NDI1ODMyNUICSU4%3D&skid=e12ca0e3-7472-4f3d-9dc2-00845e5dc833"
S31,Bismi Traders,13.0518391,80.2479625,"https://www.google.com/maps/place/Anna+Flyover,+Chennai,+Tamil+Nadu/@13.0518391,80.2479625,705m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3a526646dda33473:0x225e740f47d1ee6!8m2!3d13.0518339!4d80.2505374!16s%2Fg%2F11b77gmr5l!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S32,MKP Lake,12.7107522,80.0645948,"https://www.google.com/maps/place/Kottamedu,+Tamil+Nadu+603108/@12.7107522,80.0645948,13441m/data=!3m1!1e3!4m6!3m5!1s0x3a52ff5f60522123:0xd66e9a98396a444f!8m2!3d12.7355609!4d80.1300966!16s%2Fg%2F12hkd7vgc!5m1!1e1?hl=en&entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S33,Rajeshwari Cocopit Company,12.1542469,79.8173368,"https://www.google.com/maps/place/12%C2%B009'15.3%22N+79%C2%B049'11.7%22E/@12.1542469,79.8173368,708m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.1542469!4d79.8199117!5m1!1e1?hl=en&entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S34,Jeyabal,12.9378657,80.0458307,"https://www.google.com/maps/place/Naduveerapattu,+Tamil+Nadu+602109/@12.9378657,80.0458307,2823m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3a52f4e33fb093cd:0x26bdd19654056d50!8m2!3d12.9378452!4d80.0561305!16s%2Fg%2F1pxys8_r1!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
S35,Nathanallur Lake,12.808147,79.842187,"https://www.google.com/maps/place/12%C2%B048'29.3%22N+79%C2%B050'31.9%22E/@12.808147,79.842187,1027m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d12.808147!4d79.842187?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D"